| Frame | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | FCut RC Typ V |
|    54 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 099F  D-3 A6  21 .... ... | .... .. ... . |
|    55 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    56 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  20 .... ... | .... .. ... . |
|    57 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    58 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    59 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    60 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 0B72  F-3 A9  21 .... ... | .... .. ... . |
|    61 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    62 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  20 .... ... | .... .. ... . |
|    63 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    64 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    65 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    66 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 099F  D-3 A6  21 .... ... | .... .. ... . |
|    67 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    68 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  20 .... ... | .... .. ... . |
|    69 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    70 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    71 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    72 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 0CD8  G-3 AB  21 .... ... | .... .. ... . |
|    73 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    74 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  20 .... ... | .... .. ... . |
|    75 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    76 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    77 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    78 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 0CD8  G-3 AB  21 .... ... | .... .. ... . |
|    79 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    80 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  20 .... ... | .... .. ... . |
|    81 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    82 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    83 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    84 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 0CD8  G-3 AB  21 .... ... | .... .. ... . |
|    85 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    86 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  20 .... ... | .... .. ... . |
|    87 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    88 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    89 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    90 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 0CD8  G-3 AB  21 .... ... | .... .. ... . |
|    91 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    92 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  20 .... ... | .... .. ... . |
|    93 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    94 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    95 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    96 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    97 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    98 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    99 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 0CD0 (- 0008) .. .... ... | .... .. ... . |
|   100 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 0CC8 (- 0008) .. .... ... | .... .. ... . |
|   101 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 0CC0 (- 0008) .. .... ... | .... .. ... . |
|   102 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 0CD8  G-3 AB  21 .... ... | .... .. ... . |
|   103 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   104 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  20 .... ... | .... .. ... . |
|   105 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   106 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   107 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   108 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   109 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   110 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   111 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 0CD0 (- 0008) .. .... ... | .... .. ... . |
|   112 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 0CC8 (- 0008) .. .... ... | .... .. ... . |
|   113 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 0CC0 (- 0008) .. .... ... | .... .. ... . |
|   114 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 0CD8  G-3 AB  21 .... ... | .... .. ... . |
|   115 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   116 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  20 .... ... | .... .. ... . |
|   117 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   118 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   119 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   120 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 0CD8  G-3 AB  21 .... ... | .... .. ... . |
|   121 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   122 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  20 .... ... | .... .. ... . |
|   123 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   124 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   125 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   126 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 099F  D-3 A6  21 .... ... | .... .. ... . |
|   127 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   128 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  20 .... ... | .... .. ... . |
|   129 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   130 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   131 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   132 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 0B72  F-3 A9  21 .... ... | .... .. ... . |
|   133 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   134 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  20 .... ... | .... .. ... . |
|   135 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   136 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   137 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   138 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 099F  D-3 A6  21 .... ... | .... .. ... . |
|   139 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   140 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  20 .... ... | .... .. ... . |
|   141 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   142 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   143 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   144 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 0A3C  D#3 A7  21 .... ... | .... .. ... . |
|   145 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   146 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  20 .... ... | .... .. ... . |
|   147 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   148 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   149 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   150 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 0A3C  D#3 A7  21 .... ... | .... .. ... . |
|   151 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   152 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  20 .... ... | .... .. ... . |
|   153 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   154 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   155 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   156 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 0A3C  D#3 A7  21 .... ... | .... .. ... . |
|   157 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   158 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  20 .... ... | .... .. ... . |
|   159 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   160 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   161 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   162 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 0A3C  D#3 A7  21 .... ... | .... .. ... . |
|   163 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   164 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  20 .... ... | .... .. ... . |
|   165 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   166 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   167 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   168 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   169 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   170 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   171 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 0A34 (- 0008) .. .... ... | .... .. ... . |
|   172 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 0A2C (- 0008) .. .... ... | .... .. ... . |
|   173 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 0A24 (- 0008) .. .... ... | .... .. ... . |
|   174 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 0A3C  D#3 A7  21 .... ... | .... .. ... . |
|   175 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   176 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  20 .... ... | .... .. ... . |
|   177 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   178 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   179 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   180 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   181 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   182 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   183 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 0A34 (- 0008) .. .... ... | .... .. ... . |
|   184 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 0A2C (- 0008) .. .... ... | .... .. ... . |
|   185 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 0A24 (- 0008) .. .... ... | .... .. ... . |
|   186 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 0A3C  D#3 A7  21 .... ... | .... .. ... . |
|   187 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   188 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  20 .... ... | .... .. ... . |
|   189 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   190 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   191 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   192 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 0A3C  D#3 A7  21 .... ... | .... .. ... . |
|   193 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   194 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  20 .... ... | .... .. ... . |
|   195 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   196 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   197 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   198 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 07A3  A#2 A2  21 .... ... | .... .. ... . |
|   199 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   200 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  20 .... ... | .... .. ... . |
|   201 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   202 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   203 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   204 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 0915  C#3 A5  21 .... ... | .... .. ... . |
|   205 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   206 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  20 .... ... | .... .. ... . |
|   207 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   208 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   209 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   210 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 07A3  A#2 A2  21 .... ... | .... .. ... . |
|   211 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   212 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  20 .... ... | .... .. ... . |
|   213 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   214 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   215 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   216 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 0893  C-3 A4  21 .... ... | .... .. ... . |
|   217 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   218 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  20 .... ... | .... .. ... . |
|   219 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   220 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   221 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   222 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 0893  C-3 A4  21 .... ... | .... .. ... . |
|   223 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   224 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  20 .... ... | .... .. ... . |
|   225 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   226 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   227 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   228 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 0893  C-3 A4  21 .... ... | .... .. ... . |
|   229 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
